year,H_rl_min,H_rl_max,B_rl_min,B_rl_max,H_sub_min,H_sub_max,B_sub_min,B_sub_max
2010,0.0,0.116857576932262,0.03846153846153799,0.74160346695558,0.0,3.038297000238812,1.0,19.28169014084507
2011,0.0,0.1168372164732,0.03846153846153799,0.71415170195658,0.0,3.037767628303208,1.0,18.567944250871086
2012,0.0,0.11557916404087198,0.03846153846153799,0.699527435022316,0.0,3.0050582650626714,1.0,18.187713310580204
2013,0.0,0.115778060570669,0.03846153846153799,0.7067630356220959,0.0,3.010229574837386,1.0,18.375838926174488
2014,0.0,0.113650904390998,0.03846153846153799,0.661722236807561,0.0,2.954923514165943,1.0,17.204778156996586
2015,0.0,0.11259112808989201,0.03846153846153799,0.63770426464727,0.0,2.9273693303371813,1.0,16.580310880829018
2016,0.0,0.11289220537198501,0.03846153846153799,0.637099063298325,0.0,2.9351973396716136,1.0,16.564575645756456
2017,0.0,0.10958499407835301,0.03846153846153799,0.576923076923077,0.0,2.8492098460371826,1.0,15.0
2018,0.0,0.10948177781214999,0.03846153846153799,0.5863039399624771,0.0,2.846526223115892,1.0,15.243902439024394
2019,0.0,0.10886159422677999,0.03846153846153799,0.574612083195774,0.0,2.8304014498962813,1.0,14.939914163090126
